id,state_name,state_initial,breweries_2011,breweries_2012,breweries_2013,breweries_2014,breweries_2015,breweries_2016,latitude,longitude
1,Alabama,AL,6,10,13,19,24,28,32.7794,-86.8287
2,Arizona,AZ,34,45,47,53,78,86,34.2744,-111.6602
3,Arkansas,AR,6,10,13,19,26,28,34.8938,-92.4426
4,California,CA,270,319,381,431,518,623,37.1841,-119.4696
5,Colorado,CO,126,151,175,235,284,334,38.9972,-105.5478
6,Connecticut,CT,16,21,23,27,35,49,41.6219,-72.7273
7,Delaware,DE,7,9,10,11,15,19,38.9896,-75.505
8,District of Columbia,DC,6,6,9,8,10,12,38.9101,-77.0147
9,Florida,FL,45,57,66,111,151,195,28.6305,-82.4497
10,Georgia,GA,21,22,28,40,45,53,32.6415,-83.4426
11,Idaho,ID,24,31,34,43,50,53,44.3509,-114.613
12,Illinois,IL,54,68,83,103,157,181,40.0417,-89.1965
13,Indiana,IN,46,55,63,80,115,127,39.8942,-86.2816
14,Iowa,IA,27,34,40,46,58,70,42.0751,-93.496
15,Kansas,KS,17,19,20,22,26,31,38.4937,-98.3804
16,Kentucky,KY,11,14,15,18,24,34,37.5347,-85.3021
17,Louisiana,LA,8,8,11,15,20,26,31.0689,-91.9968
18,Maine,ME,34,37,47,52,59,77,45.3695,-69.2428
19,Maryland,MD,25,31,34,40,60,65,39.055,-76.7909
20,Massachusetts,MA,45,49,57,61,84,110,42.2596,-71.8083
21,Michigan,MI,105,122,131,159,205,222,44.3467,-85.4102
22,Minnesota,MN,35,47,52,73,105,112,46.2807,-94.3053
23,Mississippi,MS,2,3,4,7,8,9,32.7364,-89.6678
24,Missouri,MO,43,45,49,55,71,78,38.3566,-92.458
25,Montana,MT,33,36,39,44,49,68,47.0527,-109.6333
26,Nebraska,NE,18,19,22,32,33,42,41.5378,-99.7951
27,Nevada,NV,18,22,22,25,34,37,39.3289,-116.6312
28,New Hampshire,NH,15,19,22,26,44,54,43.6805,-71.5811
29,New Jersey,NJ,24,25,26,32,51,82,40.1907,-74.6728
30,New Mexico,NM,25,28,31,36,45,57,34.4071,-106.1126
31,New York,NY,75,92,165,181,208,269,42.9538,-75.5268
32,North Carolina,NC,59,71,91,101,161,200,35.5557,-79.3877
33,North Dakota,ND,2,4,6,6,9,10,47.4501,-100.4659
34,Ohio,OH,45,58,76,110,143,177,40.2862,-82.7937
35,Oklahoma,OK,10,10,13,10,14,20,35.5889,-97.4943
36,Oregon,OR,124,145,181,216,228,243,43.9336,-120.5583
37,Pennsylvania,PA,88,104,108,136,178,205,40.8781,-77.7996
38,Rhode Island,RI,6,8,8,11,14,15,41.6762,-71.5562
39,South Carolina,SC,16,16,20,31,36,50,33.9169,-80.8964
40,South Dakota,SD,5,7,10,12,14,15,44.4443,-100.2263
41,Tennessee,TN,24,30,35,39,52,66,35.858,-86.3505
42,Texas,TX,59,84,96,117,189,201,31.4757,-99.3312
43,Utah,UT,16,16,16,20,22,27,39.3055,-111.6703
44,Vermont,VT,22,27,29,40,44,50,44.0687,-72.6658
45,Virginia,VA,40,50,61,78,124,164,37.5215,-78.8537
46,Washington,WA,136,170,201,256,305,334,47.3826,-120.4472
47,West Virginia,WV,5,6,7,11,12,15,38.6409,-80.6227
48,Wisconsin,WI,73,84,90,97,121,138,44.6243,-89.9941
49,Wyoming,WY,13,15,18,22,23,23,42.9957,-107.5512
